na;area;cntP;cntPwithCoords
NA Angola;33985727301.711567;5;3
NA Burkina Faso;0;4;2
NA Burundi;7588054568.404936;5;5
NA Benin;3987425431.4937897;5;3
NA Botswana;5365192956.743304;4;3
NA Congo Dem. Rep.;68067780752.761635;6;3
NA Centr. Afr. Rep.;26700169975.02219;5;3
NA Côte d'Ivoire;7331731233.619961;7;3
NA Cameroon;0;4;2
NA Cape Verde;0;5;2
NA Algeria;0;3;1
NA Egypt;4686371325.121248;4;3
NA Ethiopia;262215027591.07858;10;7
NA Ghana;29703025482.924953;8;5
NA Gambia;0;7;2
NA Guinea;69254290949.96745;6;3
NA Equat. Guinea;0;1;1
NA Guinea-Bissau;2869208498.3038616;4;3
NA Kenya;69380517278.11206;9;5
NA Liberia;0;3;2
NA Lesotho;0;2;2
NA Morocco;83875691945.36443;12;5
NA Madagascar;56108046764.74965;7;4
NA Mali;100702363945.36014;5;4
NA Mauritius;0;4;2
NA Malawi;24540642764.920334;6;4
NA Mozambique;423765522137.4029;7;6
NA Namibia;39073625002.02819;4;3
NA Niger;18804822639.940567;5;3
NA Nigeria;12366244885.457083;13;4
NA Rwanda;2927701463.866124;4;4
NA Sudan;0;5;1
NA Sierra Leone;7484184742.685971;4;3
NA Senegal;69817380367.46501;7;5
NA Somalia;0;2;1
NA Somaliland;0;3;1
NA Swaziland;3238354848.1336646;4;3
NA Togo;21158765878.15998;7;4
NA Tunisia;17137094463.053822;6;4
NA Tanzania;56413172026.98805;6;3
NA Zanzibar;0;2;1
NA Uganda;31424234474.27412;7;4
NA South Africa;613803247306.4786;12;8
NA Zambia;127476175945.75587;6;4
NA Zimbabwe;3482064041.4078155;5;3
NA Argentina;263914839950.54947;10;4
NA Bolivia;53479774252.9612;11;10
NA Brazil;3356633215524.689;41;24
NA Chile;99060641765.15263;20;14
NA Colombia;55407279911.19757;11;7
NA Costa Rica;8188222.02473198;5;3
NA Dominican Rep.;238842142.2100168;4;3
NA Ecuador;12204797777.914206;8;6
NA Guatemala;98465070.12728879;13;6
NA Honduras;1204863839.4845176;10;7
NA Haiti;3061597763.555776;7;3
NA Jamaica;0;2;2
NA Mexico;117177433403.91618;10;8
NA Nicaragua;1086862656.4331057;9;6
NA Panama;2025031594.7011468;4;4
NA Peru;77561728902.21797;17;12
NA Paraguay;21813533372.80991;8;6
NA El Salvador;42681145.79218607;7;5
NA Uruguay;12389625810.878021;6;4
NA Venezuela;1666724720.5124211;6;3
NA Armenia;0;3;2
NA Azerbaijan;0;4;2
NA Bangladesh;518719645.3100034;8;6
NA China;1891889032771.2637;10;9
NA Georgia;0;3;2
NA Indonesia;495837140250.41003;10;8
NA Israel;0;4;2
NA Shreyas Balgram;0;1;0
NA India;589462810339.0952;48;32
NA TCV Dharamsala;34666424820.32362;7;5
NA Tibetan H. Found.;0;4;3
NA Jordan;3686375652.2135334;5;3
NA Kyrgyzstan;0;4;2
NA Cambodia;18022396566.84792;7;6
NA South Korea;0;4;0
NA Kazakhstan;12125598927.528564;6;3
NA Laos;22986544903.585804;6;6
NA Lebanon;1371277459.8973281;8;4
NA Sri Lanka;5079308886.087699;20;6
NA Nepal;4461574274.745003;15;10
NA Philippines;78029789983.14095;8;8
NA Pakistan;139519345783.67468;19;11
NA Syria;0;8;2
NA Thailand;72263572962.03606;5;5
NA Taiwan, China;0;2;1
NA Uzbekistan;39715820149.349556;3;3
NA Vietnam;156588782094.12686;17;16
NA Palestine;524845757.2300901;5;3
NA Albania;0;3;1
NA Bosnia and Herzegovina;0;6;2
NA Bulgaria;3355610816.2745857;5;3
NA Belarus;6766548952.02054;4;3
NA Northern Cyprus;0;2;1
NA Czech Republic;9994014600.271568;6;3
NA Estonia;15126313234.123886;9;5
NA Croatia;0;7;2
NA Hungary;8293975752.927591;8;4
NA Lithuania;2116920406.0700953;6;3
NA Latvia;0;5;2
NA Macedonia;0;1;1
NA Poland;55120687048.53266;8;4
NA Romania;28868696445.967873;4;3
NA Russia;886263605883.8243;11;6
NA Serbia;0;3;2
NA Chad;0;4;1
NA Mongolia;0;2;2
NA Ukraine;0;4;2
NA Kosovo;0;1;1
NA Iraq;0;1;0
NA Djibouti;0;3;1
NA Japan;0;2;0
NA TC Karen / Kenya;0;1;0
NA IC Tema / Ghana;0;1;0
NA South Sudan;0;2;2
